Name of the farmer,Type of Soil,Type/Variety,Location,Type of Crops,Week 1,Week 2,Week 3,Week 4,Month,Year,Total,Report Type
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,0.77,0.51,0.79,1.17,August,2021,3.24,Harvest
Abigail Tyler Martin,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.57,1.97,1.33,0.77,September,2021,5.64,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 216,Purok 1,Rice,0.79,0.64,1.19,1.93,October,2021,4.55,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,1.75,1.3,1.38,1.3,November,2021,5.73,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,0.74,0.57,1.65,0.53,December,2021,3.49,Harvest
Abigail Tyler Martin,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.81,1.34,1.15,1.05,January,2022,5.35,Harvest
Abigail Tyler Martin,Non-Irrigated,Tubigan 14,Purok 1,Rice,0.79,1.65,1.12,1.59,February,2022,5.15,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,1.46,0.78,1.66,0.88,March,2022,4.78,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.38,1.41,1.8,1.46,April,2022,6.05,Harvest
Abigail Tyler Martin,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.59,0.68,0.55,1.44,May,2022,4.26,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.72,0.57,1.26,1.07,June,2022,4.62,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,1.7,1.85,1.62,1.66,July,2022,6.83,Harvest
Abigail Tyler Martin,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.13,0.89,0.92,1.14,August,2022,4.08,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.92,0.51,0.7,1.58,September,2022,4.71,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,1.35,1.51,1.52,1.71,October,2022,6.09,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,1.55,1.46,1.29,1.09,November,2022,5.39,Harvest
Abigail Tyler Martin,Non-Irrigated,PSB Rc82,Purok 1,Rice,1.22,1.42,1.8,0.93,December,2022,5.37,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,0.94,2,1.9,1.31,January,2023,6.15,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 216,Purok 1,Rice,1.78,1.07,1.35,1,February,2023,5.2,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.38,0.74,1.05,0.54,March,2023,3.71,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 216,Purok 1,Rice,0.71,0.73,1.88,1.57,April,2023,4.89,Harvest
Abigail Tyler Martin,Irrigated,PSB Rc82,Purok 1,Rice,1.69,1.2,1.15,0.66,May,2023,4.7,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,1.28,0.52,1.81,1.26,June,2023,4.87,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,0.88,1.91,1.16,0.91,July,2023,4.86,Harvest
Abigail Tyler Martin,Irrigated,PSB Rc82,Purok 1,Rice,1.19,0.53,1.55,0.74,August,2023,4.01,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,1.41,1.1,1.96,1.96,September,2023,6.43,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.4,1.75,2,1.5,October,2023,6.65,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,1.96,0.83,0.7,1.13,November,2023,4.62,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,0.84,1.09,0.52,1.68,December,2023,4.13,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,1.69,0.68,1.34,1,January,2024,4.71,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,0.73,1.25,1.09,1.22,February,2024,4.29,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,0.92,1.84,1.08,1.23,March,2024,5.07,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 216,Purok 1,Rice,0.84,0.87,0.81,1.94,April,2024,4.46,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,0.86,1.52,1.57,1.86,May,2024,5.81,Harvest
Abigail Tyler Martin,Irrigated,NSIC Rc 222,Purok 1,Rice,0.88,0.65,1.13,1.9,June,2024,4.56,Harvest
Abigail Tyler Martin,Irrigated,Tubigan 14,Purok 1,Rice,0.89,1.32,0.86,1.13,July,2024,4.2,Harvest
Abigail Tyler Martin,Irrigated,PSB Rc82,Purok 1,Rice,1.89,0.89,2,1.98,August,2024,6.76,Harvest
Abigail Tyler Martin,Non-Irrigated,Tubigan 14,Purok 1,Rice,1.09,1.31,1.07,1.39,September,2024,4.86,Harvest
Abigail Tyler Martin,Non-Irrigated,NSIC Rc 222,Purok 1,Rice,1.98,1.35,1.25,1.88,October,2024,6.46,Harvest
Abigail Tyler Martin,Irrigated,PSB Rc82,Purok 1,Rice,0.89,1.82,0.66,0.75,November,2024,4.12,Harvest
Abigail Tyler Martin,Non-Irrigated,Tubigan 14,Purok 1,Rice,0.98,0.92,1.93,1.85,December,2024,5.68,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 222,Purok 1,Corn,0.55,1.58,1.22,0.55,January,2020,3.9,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,0.53,1.72,1.97,1.77,February,2020,5.99,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.37,1.16,1.67,1.11,March,2020,5.31,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,1.93,0.93,1.19,0.58,April,2020,4.63,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 222,Purok 1,Corn,1.65,1.31,1.82,1.9,May,2020,6.68,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,0.74,1.42,1.36,0.53,June,2020,4.05,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,1.9,1.7,1.78,1.67,July,2020,7.05,Harvest
Henry Jeremy Thompson,Irrigated,PSB Rc82,Purok 1,Corn,1.34,0.71,0.64,1.22,August,2020,3.91,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.99,1.23,1.56,0.81,September,2020,5.59,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 222,Purok 1,Corn,1.12,0.87,0.72,1.87,October,2020,4.58,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,0.65,1.38,0.79,1.81,November,2020,4.63,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.79,0.91,0.77,1.05,December,2020,4.52,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.18,0.71,0.77,1.19,January,2021,3.85,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,1.86,0.97,1.04,0.6,February,2021,4.47,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,0.81,1.56,1.17,1.18,March,2021,4.72,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 222,Purok 1,Corn,1.67,1.34,1.91,1.45,April,2021,6.37,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,0.64,1.16,0.87,0.55,May,2021,3.22,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.88,1.4,1.71,1.32,June,2021,6.31,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.16,0.57,0.59,1.55,July,2021,3.87,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,1.8,1.09,1.5,0.66,August,2021,5.05,Harvest
Henry Jeremy Thompson,Irrigated,PSB Rc82,Purok 1,Corn,0.65,0.74,1.04,0.89,September,2021,3.32,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,1.87,1.42,1.4,1.91,October,2021,6.6,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.3,1.69,1.72,0.57,November,2021,5.28,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.85,1.18,1.29,1.48,December,2021,5.8,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,0.62,1.73,1.61,1.49,January,2022,5.45,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.09,0.94,1.79,1.01,February,2022,4.83,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,1.96,0.54,1.87,1.19,March,2022,5.56,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,1.78,1.29,0.67,0.86,April,2022,4.6,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,1.95,1.23,0.96,1.15,May,2022,5.29,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 222,Purok 1,Corn,0.92,1.4,1.49,0.9,June,2022,4.71,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.25,1.62,1.37,1.52,July,2022,5.76,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.75,1.63,1.98,1.21,August,2022,6.57,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.41,1.42,0.89,1.45,September,2022,5.17,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.06,1.49,0.78,1.8,October,2022,5.13,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 222,Purok 1,Corn,1.09,0.77,1.67,1.36,November,2022,4.89,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.13,0.65,0.8,1.9,December,2022,4.48,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.81,1.61,0.85,1.97,January,2023,6.24,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 222,Purok 1,Corn,1.73,1.38,1.15,1.94,February,2023,6.2,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.19,1.05,1.81,0.67,March,2023,4.72,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,1.63,1.64,1.52,1.06,April,2023,5.85,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.64,0.96,0.63,1.01,May,2023,4.24,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,1.21,0.54,1.71,1.05,June,2023,4.51,Harvest
Henry Jeremy Thompson,Irrigated,PSB Rc82,Purok 1,Corn,1.16,1.78,1,1.78,July,2023,5.72,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,0.95,1.44,1.91,1.7,August,2023,6,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 222,Purok 1,Corn,1.4,1.72,1.64,1.44,September,2023,6.2,Harvest
Henry Jeremy Thompson,Non-Irrigated,PSB Rc82,Purok 1,Corn,1.8,0.72,1.44,0.57,October,2023,4.53,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,0.53,1.79,1.16,0.64,November,2023,4.12,Harvest
Henry Jeremy Thompson,Irrigated,PSB Rc82,Purok 1,Corn,0.66,1.56,1.45,1.4,December,2023,5.07,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.23,1.77,1.76,1.26,January,2024,6.02,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.93,1.3,1.45,1.37,February,2024,6.05,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,1.57,1.49,1.97,1.12,March,2024,6.15,Harvest
Henry Jeremy Thompson,Irrigated,Tubigan 14,Purok 1,Corn,0.78,1.52,1.52,1.96,April,2024,5.78,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,0.72,1.54,1.79,0.8,May,2024,4.85,Harvest
Henry Jeremy Thompson,Irrigated,NSIC Rc 216,Purok 1,Corn,1.35,1.44,0.81,1.7,June,2024,5.3,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 222,Purok 1,Corn,1.62,1.12,0.77,1.94,July,2024,5.45,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.6,1.95,1.83,1.91,August,2024,7.29,Harvest
Henry Jeremy Thompson,Non-Irrigated,Tubigan 14,Purok 1,Corn,1.08,1.09,1.02,1.17,September,2024,4.36,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.83,0.52,1.41,1.01,October,2024,4.77,Harvest
Henry Jeremy Thompson,Non-Irrigated,NSIC Rc 216,Purok 1,Corn,1.2,1.28,1.7,1.27,November,2024,5.45,Harvest
Henry Jeremy Thompson,Irrigated,PSB Rc82,Purok 1,Corn,0.82,0.95,1.81,1.08,December,2024,4.66,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,0.78,1.1,1.75,1.97,January,2020,5.6,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,1.59,1.99,1.88,1.23,February,2020,6.69,Harvest
Jeffrey Amy Carroll,Irrigated,PSB Rc82,Purok 3,Coconut,1.78,1.38,1.37,1.09,March,2020,5.62,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.12,0.77,1.69,1.9,April,2020,5.48,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,0.67,1.62,1.41,1.57,May,2020,5.27,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.63,1.12,1.79,0.89,June,2020,5.43,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,0.79,1.93,1.44,0.54,July,2020,4.7,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,1.41,1.6,1.59,1.34,August,2020,5.94,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,0.71,0.55,1.48,0.57,September,2020,3.31,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,1.24,1.61,0.92,1.22,October,2020,4.99,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.69,0.63,0.73,0.78,November,2020,3.83,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,1.88,0.69,0.74,1.75,December,2020,5.06,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 216,Purok 3,Coconut,1.21,0.53,0.99,1.9,January,2021,4.63,Harvest
Jeffrey Amy Carroll,Non-Irrigated,PSB Rc82,Purok 3,Coconut,1.55,0.69,0.67,1.8,February,2021,4.71,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 216,Purok 3,Coconut,1.33,1.43,1.28,1.47,March,2021,5.51,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,0.66,1.33,0.83,1.1,April,2021,3.92,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.11,0.83,1.78,1.42,May,2021,5.14,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,1.32,1.6,1.82,0.89,June,2021,5.63,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,0.92,1.68,1.67,1.91,July,2021,6.18,Harvest
Jeffrey Amy Carroll,Non-Irrigated,PSB Rc82,Purok 3,Coconut,1.25,0.52,1.4,1.13,August,2021,4.3,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,1.78,1.25,0.81,1.34,September,2021,5.18,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,0.54,1.17,1.47,0.75,October,2021,3.93,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,0.59,0.92,1.38,1.13,November,2021,4.02,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,1.69,1.43,1.92,1.77,December,2021,6.81,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,0.67,1.06,1.49,1.95,January,2022,5.17,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,1.14,1.17,1.61,1.77,February,2022,5.69,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.65,1.05,0.53,0.57,March,2022,3.8,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,1.55,0.9,1.06,0.79,April,2022,4.3,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.94,0.64,0.76,1.12,May,2022,4.46,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,0.88,0.97,1.91,0.59,June,2022,4.35,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,1.57,1.87,0.97,1.13,July,2022,5.54,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,1.68,1.64,0.8,1.47,August,2022,5.59,Harvest
Jeffrey Amy Carroll,Irrigated,PSB Rc82,Purok 3,Coconut,1.61,1.1,1.89,0.6,September,2022,5.2,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 216,Purok 3,Coconut,0.63,1.42,1.28,1.78,October,2022,5.11,Harvest
Jeffrey Amy Carroll,Irrigated,PSB Rc82,Purok 3,Coconut,1.47,1.8,1.53,1.08,November,2022,5.88,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.96,1.64,1.24,1.11,December,2022,5.95,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,0.91,1.28,1.65,0.93,January,2023,4.77,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,1.28,0.71,0.67,1.9,February,2023,4.56,Harvest
Jeffrey Amy Carroll,Non-Irrigated,PSB Rc82,Purok 3,Coconut,1.33,0.61,1.26,0.94,March,2023,4.14,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.68,1.2,1.66,0.71,April,2023,5.25,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.68,1.28,1.39,0.77,May,2023,5.12,Harvest
Jeffrey Amy Carroll,Non-Irrigated,PSB Rc82,Purok 3,Coconut,1.8,0.78,1.73,1.04,June,2023,5.35,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 216,Purok 3,Coconut,1,1.27,0.67,1.62,July,2023,4.56,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.69,1.05,0.76,1.23,August,2023,4.73,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.56,0.83,1.8,1.13,September,2023,5.32,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.75,1.99,1.04,1.95,October,2023,6.73,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.63,0.66,0.98,1.88,November,2023,5.15,Harvest
Jeffrey Amy Carroll,Non-Irrigated,PSB Rc82,Purok 3,Coconut,1.28,1.29,1.78,1.95,December,2023,6.3,Harvest
Jeffrey Amy Carroll,Irrigated,Tubigan 14,Purok 3,Coconut,0.92,1.48,1.95,1.68,January,2024,6.03,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 216,Purok 3,Coconut,1.13,1.37,0.89,1.86,February,2024,5.25,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.5,0.8,1.65,1.94,March,2024,5.89,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,1.17,1.77,1,1.33,April,2024,5.27,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,0.77,1.33,0.68,1.32,May,2024,4.1,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 222,Purok 3,Coconut,1.61,1.71,1.38,1.84,June,2024,6.54,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,1.54,1.44,0.96,1.07,July,2024,5.01,Harvest
Jeffrey Amy Carroll,Irrigated,NSIC Rc 216,Purok 3,Coconut,1.82,0.88,0.78,1.76,August,2024,5.24,Harvest
Jeffrey Amy Carroll,Non-Irrigated,NSIC Rc 222,Purok 3,Coconut,0.7,1.03,1.49,1.94,September,2024,5.16,Harvest
Jeffrey Amy Carroll,Non-Irrigated,PSB Rc82,Purok 3,Coconut,0.75,1.43,1.87,0.7,October,2024,4.75,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.47,0.86,0.9,1.44,November,2024,4.67,Harvest
Jeffrey Amy Carroll,Non-Irrigated,Tubigan 14,Purok 3,Coconut,1.38,0.52,1.58,1.45,December,2024,4.93,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.87,1.85,0.59,1.28,January,2020,4.59,Harvest
Lynn Alicia Johnson,Irrigated,PSB Rc82,Purok 4,Corn,1.32,1.88,1.36,1.25,February,2020,5.81,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.83,1.14,0.56,0.97,March,2020,3.5,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,0.81,0.68,1.15,0.97,April,2020,3.61,Harvest
Lynn Alicia Johnson,Non-Irrigated,PSB Rc82,Purok 4,Corn,0.73,1.15,0.99,1.06,May,2020,3.93,Harvest
Lynn Alicia Johnson,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.43,0.51,1.12,0.52,June,2020,3.58,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,0.59,1.66,1.9,1.03,July,2020,5.18,Harvest
Lynn Alicia Johnson,Irrigated,Tubigan 14,Purok 4,Corn,0.9,1.64,1.44,1.75,August,2020,5.73,Harvest
Lynn Alicia Johnson,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.07,0.61,1.37,1.26,September,2020,4.31,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.54,1.12,1.19,1.55,October,2020,5.4,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,0.93,1.43,1.08,1.2,November,2020,4.64,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.21,1.64,1.4,1.81,December,2020,6.06,Harvest
Lynn Alicia Johnson,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.87,0.74,1.27,0.52,January,2021,3.4,Harvest
Lynn Alicia Johnson,Irrigated,Tubigan 14,Purok 4,Corn,1.65,0.96,1.56,1.42,February,2021,5.59,Harvest
Lynn Alicia Johnson,Irrigated,PSB Rc82,Purok 4,Corn,0.88,1.85,1.57,1.83,March,2021,6.13,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.44,1.48,1.79,0.8,April,2021,5.51,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.21,1.7,1.33,1.47,May,2021,5.71,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.55,1.11,1.94,1.85,June,2021,6.45,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 216,Purok 4,Corn,1.78,1,1.6,1.39,July,2021,5.77,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.97,0.72,0.51,1.38,August,2021,3.58,Harvest
Lynn Alicia Johnson,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.31,1.21,0.76,1.22,September,2021,4.5,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.93,1.68,1.07,1.41,October,2021,6.09,Harvest
Lynn Alicia Johnson,Irrigated,Tubigan 14,Purok 4,Corn,0.85,1.35,0.52,1.03,November,2021,3.75,Harvest
Lynn Alicia Johnson,Irrigated,Tubigan 14,Purok 4,Corn,1.35,1.95,1.32,0.95,December,2021,5.57,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 216,Purok 4,Corn,0.71,1.31,1.32,0.78,January,2022,4.12,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.98,1.03,0.68,1.1,February,2022,3.79,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.84,1.26,1.35,1.54,March,2022,5.99,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,0.87,1.34,1.81,1.2,April,2022,5.22,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.41,0.6,1.37,0.75,May,2022,4.13,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.04,0.99,1.67,0.85,June,2022,4.55,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 216,Purok 4,Corn,1.03,1.03,1.58,1.16,July,2022,4.8,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 222,Purok 4,Corn,1.01,1.99,1.76,0.87,August,2022,5.63,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 216,Purok 4,Corn,0.67,1.08,0.58,0.62,September,2022,2.95,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.56,0.63,1.43,1.53,October,2022,4.15,Harvest
Lynn Alicia Johnson,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.9,0.74,1.03,1.97,November,2022,5.64,Harvest
Lynn Alicia Johnson,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.46,1.46,0.67,1.21,December,2022,4.8,Harvest
Lynn Alicia Johnson,Irrigated,NSIC Rc 216,Purok 4,Corn,1.08,1.73,1.21,1.07,January,2023,5.09,Harvest
Lynn Alicia Johnson,Irrigated,Tubigan 14,Purok 4,Corn,0.54,0.97,1.03,1.55,February,2023,4.09,Harvest
